page number, number of genre, number of species, number of binoms
562, 0, 0, 0
550, 0, 0, 0
294, 0, 0, 0
083, 0, 0, 0
593, 1, 0, 1
455, 0, 0, 0
522, 0, 1, 0
342, 1, 0, 6
592, 0, 0, 0
438, 0, 0, 0
646, 0, 0, 0
093, 0, 0, 0
078, 0, 0, 0
291, 0, 0, 0
249, 0, 0, 0
348, 0, 0, 0
094, 0, 0, 0
380, 0, 0, 2
315, 1, 0, 0
230, 0, 0, 0
180, 1, 0, 0
426, 0, 0, 0
124, 0, 0, 0
303, 0, 0, 0
069, 0, 0, 1
378, 0, 0, 0
472, 0, 0, 0
512, 0, 0, 0
394, 0, 0, 0
391, 0, 0, 0
467, 0, 2, 0
618, 0, 0, 0
582, 0, 0, 0
227, 1, 0, 0
250, 0, 0, 0
423, 0, 0, 0
147, 0, 0, 0
414, 0, 0, 0
295, 1, 2, 0
603, 0, 0, 0
112, 0, 0, 0
503, 0, 0, 0
384, 0, 3, 0
074, 0, 0, 0
584, 0, 0, 0
313, 1, 0, 0
032, 0, 1, 1
106, 0, 0, 0
591, 0, 0, 0
165, 1, 0, 0
200, 0, 0, 0
226, 0, 0, 0
572, 0, 1, 0
337, 0, 0, 1
216, 0, 0, 0
120, 0, 0, 0
176, 0, 0, 0
627, 1, 0, 0
494, 1, 0, 0
197, 0, 0, 3
152, 0, 0, 0
278, 0, 1, 0
393, 2, 0, 0
282, 0, 0, 0
428, 0, 0, 0
327, 1, 0, 0
293, 0, 0, 0
601, 0, 0, 0
322, 0, 0, 0
534, 0, 0, 1
051, 0, 0, 0
643, 0, 2, 1
628, 0, 0, 0
596, 0, 0, 0
465, 0, 0, 1
110, 0, 0, 0
231, 0, 0, 0
586, 0, 0, 0
324, 0, 0, 0
246, 0, 0, 0
236, 0, 0, 0
595, 0, 1, 4
025, 0, 0, 0
580, 0, 0, 0
108, 0, 2, 1
052, 0, 2, 0
316, 1, 0, 0
193, 0, 0, 0
647, 0, 0, 0
117, 0, 0, 0
625, 0, 0, 0
319, 0, 0, 0
002, 0, 0, 0
506, 0, 0, 0
260, 0, 0, 0
126, 0, 0, 0
277, 0, 0, 0
228, 0, 0, 0
155, 0, 0, 0
048, 0, 0, 1
044, 0, 0, 0
555, 0, 0, 0
636, 0, 0, 0
263, 0, 1, 0
211, 0, 0, 0
215, 0, 0, 2
401, 0, 0, 0
261, 0, 0, 0
392, 1, 0, 0
478, 0, 0, 0
454, 0, 2, 0
144, 0, 0, 0
073, 0, 0, 2
156, 0, 0, 0
660, 0, 0, 0
346, 1, 0, 0
399, 0, 0, 0
338, 0, 0, 0
287, 0, 0, 0
614, 0, 0, 0
285, 1, 0, 0
598, 0, 9, 3
090, 1, 0, 0
192, 1, 3, 0
366, 0, 1, 1
001, 0, 0, 0
458, 1, 0, 0
203, 0, 0, 0
507, 0, 0, 1
544, 0, 0, 0
541, 0, 0, 0
046, 0, 0, 0
031, 0, 0, 0
086, 0, 0, 0
179, 0, 0, 1
218, 0, 0, 0
463, 1, 0, 0
645, 0, 0, 0
056, 0, 1, 5
528, 0, 0, 0
140, 1, 0, 0
329, 0, 0, 0
376, 0, 0, 0
196, 0, 0, 0
233, 0, 0, 2
488, 0, 0, 0
194, 0, 0, 1
552, 0, 14, 2
551, 0, 0, 0
262, 0, 1, 5
015, 0, 0, 0
219, 0, 0, 1
195, 0, 0, 0
043, 0, 0, 0
415, 0, 1, 0
439, 0, 0, 0
479, 0, 0, 1
408, 1, 0, 0
530, 0, 0, 0
462, 0, 0, 1
041, 0, 0, 0
304, 0, 0, 0
238, 0, 0, 1
569, 1, 0, 0
412, 1, 0, 0
009, 0, 0, 0
298, 2, 0, 0
477, 0, 0, 0
427, 0, 0, 0
533, 1, 0, 0
245, 0, 0, 1
417, 0, 0, 0
