i,precision,recall,fmeasure
500,19.44,73.72,30.76
5500,38.42,68.8,49.31
10500,46.84,68.16,55.53
15500,52.01,63.46,57.17
20500,57.69,60.9,59.25
25500,61.66,60.47,61.06
30500,66.83,59.83,63.13
35500,70.41,58.97,64.19
40500,67.85,53.21,59.64
