i,precision,recall,fmeasure
500,22.34,67.74,33.60
5500,57.09,67.09,61.69
10500,66.03,66.03,66.03
15500,72.07,61.75,66.51
20500,75.83,58.33,65.94
25500,77.65,56.41,65.35
30500,82.62,53.85,65.20
35500,83.62,51.28,63.58
40500,84.06,49.57,62.37
