i,precision,recall,fmeasure
500,59.77,65.38,62.45
5500,84.87,64.74,73.45
10500,87.13,63.68,73.58
15500,90.68,60.26,72.40
20500,93.13,57.91,71.41
25500,93.57,55.98,70.05
30500,94.57,55.77,70.16
35500,95.00,52.78,67.86
40500,95.20,50.85,66.30
