 number of genre, number of species, number of binoms
0.16697247706422,0.155963302752294,0
0.135135135135135,0.148648648648649,1
0.166666666666667,0.888888888888889,2
0.333333333333333,1.44444444444444,3
0,2.33333333333333,4
0.25,1,5
0.5,1,6
0.168896321070234,0.224080267558528,8
